
2025-10-19T13:07:54.263768, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:12.428019, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:12.444767, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:12.461108, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:12.972533, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:13.018098, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:13.069960, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:13.085840, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:13.105808, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:13.121563, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:13.622845, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:13.639599, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:13.659973, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:13.683589, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:13.702131, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:13.722145, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:14.239695, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:14.254146, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:14.270533, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:14.287891, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:14.309628, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:14.323566, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:16.464926, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:16.528003, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:16.561391, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:17.061115, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:17.086886, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:17.141859, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:17.184258, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:17.238739, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:17.826505, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:17.839259, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:17.856976, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:18.396061, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:18.410713, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:18.430830, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:18.461955, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:30.123882, p001, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:57:30.166499, p001, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:57:31.490302, p001, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:57:31.532657, p001, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:57:32.530996, p001, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:57:32.546174, p001, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:57:33.087092, p001, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:33.106002, p003, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:33.813806, p001, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:33.841530, p001, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:33.877859, p003, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:33.909173, p003, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:33.941104, p003, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:33.964534, p003, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:34.660231, p001, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:34.683228, p001, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:34.706880, p003, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:34.725636, p003, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:35.484608, p001, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:35.502151, p003, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:35.958448, p001, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:35.978854, p003, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:57:44.300212, p001, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:57:53.328511, p001, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:57:54.662251, p001, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:57:55.140252, p001, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:57:55.902963, p001, plank, Workout Zone, Detected Policy Violation
